"Game_id","Team_id","Player_id","x_0","y_0","x_1","y_1","Throw_outcome","Possession_outcome"
"2021-06-05-BOS-PIT",219,8945,10.34,47.33,7.43,40.92,"Completion",0
"2021-06-05-BOS-PIT",219,8928,7.43,40.92,-15.09,40.92,"Completion",0
"2021-06-05-BOS-PIT",219,8937,-15.09,40.92,-11.88,93.34,"Turnover",0
"2021-06-05-BOS-PIT",219,9446,3.49,19.36,1.82,29.7,"Completion",1
"2021-06-05-BOS-PIT",219,8950,1.82,29.7,13.55,31.16,"Completion",1
"2021-06-05-BOS-PIT",219,9446,13.55,31.16,24.91,39.1,"Completion",1
"2021-06-05-BOS-PIT",219,9444,24.91,39.1,13.77,44.19,"Completion",1
"2021-06-05-BOS-PIT",219,9446,13.77,44.19,3.06,40.77,"Completion",1
"2021-06-05-BOS-PIT",219,9444,3.06,40.77,-15.82,57.96,"Completion",1
"2021-06-05-BOS-PIT",219,8950,-15.82,57.96,-20.26,69.32,"Completion",1
"2021-06-05-BOS-PIT",219,8939,-20.26,69.32,-24.41,89.78,"Completion",1
"2021-06-05-BOS-PIT",219,9446,-24.41,89.78,19.59,105.07,"Goal",1
"2021-06-05-BOS-PIT",219,8934,-15.45,13.76,0.87,34.51,"Completion",0
"2021-06-05-BOS-PIT",219,8928,0.87,34.51,24.33,40.41,"Completion",0
"2021-06-05-BOS-PIT",219,9577,24.33,40.41,-6.2,40.63,"Completion",0
"2021-06-05-BOS-PIT",219,8926,-6.2,40.63,-1.17,45.8,"Turnover",0
"2021-06-05-BOS-PIT",219,9446,-1.54,19.66,-1.46,40.12,"Completion",1
"2021-06-05-BOS-PIT",219,8950,-1.46,40.12,-19.97,39.83,"Completion",1
"2021-06-05-BOS-PIT",219,9444,-19.97,39.83,-17.13,49.29,"Completion",1
"2021-06-05-BOS-PIT",219,8923,-17.13,49.29,-6.78,37.86,"Completion",1
"2021-06-05-BOS-PIT",219,8950,-6.78,37.86,16.02,45.21,"Completion",1
"2021-06-05-BOS-PIT",219,8939,16.02,45.21,12.45,56.21,"Completion",1
"2021-06-05-BOS-PIT",219,8923,12.45,56.21,5.97,46.23,"Completion",1
"2021-06-05-BOS-PIT",219,8942,5.97,46.23,-20.41,59.7,"Completion",1
"2021-06-05-BOS-PIT",219,8950,-20.41,59.7,23.46,110.97,"Goal",1
"2021-06-05-BOS-PIT",225,8896,-6.35,26.38,6.47,36,"Completion",0
"2021-06-05-BOS-PIT",225,9358,6.47,36,12.07,40.77,"Completion",0
"2021-06-05-BOS-PIT",225,9369,12.07,40.77,26.53,50.52,"Completion",0
